"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"11104120","DESIGN - D","f64a87ccd1da1c94c8435fea4c420924","1720","60-80","7,061","6-8","6","3","7,376","428,846","5,241","304,707","115"
"11104120","DESIGN - D","6a1dd00f9e643ea9a7a5aafe7592d7f9","1370","40-60","5,758","4-6","6","3","7,417","437,278","3,139","185,049","115"
"11104120","DESIGN - D","4a97d66c0b1dc0c5c03590b69e5e52ad","1610","60-80","6,749","6-8","6","3","7,363","426,058","4,584","265,244","115"
"11104120","DESIGN - D","13782cd5487eeaa8da76c8015d5521da","1340","20-40","5,991","4-6","6","3","7,637","482,896","2,407","152,221","115"
"11104120","DESIGN - D","6116424340faf75104ad42c1fcb46468","1960","60-80","8,326","8-10","6","3","8,326","625,897","7,103","533,955","115"
"11104120","DESIGN - D","9988734f9ceef411f34d965180aa288b","1060","40-60","5,155","4-6","6","3","6,902","330,403","2,102","100,649","115"
"Cód. Curso","Curso","03295e86cf4413e51f8ab1132949c3bb","CH integralizada","Faixa CH %","CRA","Faixa CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"11104120","DESIGN - D","8b2c4e09e62cb2c9e48f0c1cb44b08f4","800","20-40","3,389","2-4","6","3","6,945","339,351","0,82","40,066","115"
"11104120","DESIGN - D","d115eb71c20b932c7e2a9cf2ec8fc6c5","1080","40-60","4,875","4-6","6","3","7,102","371,908","2,153","112,766","115"
"11104120","DESIGN - D","4bfc0ddc2a5807bb76cc5ed04cd77a12","1730","60-80","7,317","6-8","6","3","7,579","470,867","5,276","327,778","115"
"11104120","DESIGN - D","d2232366e8ff4d8a25d19ff42abcf634","1550","40-60","8,44","8-10","5","2","8,44","649,661","6,937","534,002","115"
"11104120","DESIGN - D","fda5c2acc53c4505a0fc2291bafef6d4","870","20-40","5,335","4-6","5","2","6,871","324,047","1,851","87,294","115"
"11104120","DESIGN - D","9d627f8bf3fcb62f1672416aaae9d8fa","960","20-40","5,037","4-6","5","2","6,952","340,822","2,265","111,046","115"
"11104120","DESIGN - D","58939b68b29da8b9c9f6e772a1e028a8","910","20-40","4,82","4-6","5","2","7,423","438,583","2,145","126,711","115"
"11104120","DESIGN - D","ab056b62730f87ad5cf4030e603fa558","630","20-40","3,629","2-4","5","2","6,705","289,487","1,045","45,134","115"
"11104120","DESIGN - D","32f72beb88ed3a6811e6eaf767b836a9","1490","40-60","7,903","6-8","5","2","8,226","605,139","6,015","442,513","115"
"11104120","DESIGN - D","57124caabef936d21833c14f95e915f5","1060","40-60","6,226","6-8","5","2","8,21","601,999","3,096","227,026","115"
"11104120","DESIGN - D","8efc29236048a4965713236a3120676b","1140","40-60","6,934","6-8","5","2","7,904","538,304","4,065","276,858","115"
"11104120","DESIGN - D","cc3e6793b1da2b55682b1a7d76bae739","1140","40-60","5,518","4-6","5","2","6,996","350,039","2,922","146,206","115"
"11104120","DESIGN - D","690afac4e2d4962c12f3cf193619ae94","1670","60-80","8,311","8-10","5","2","8,311","622,963","7,361","551,7","115"
"11104120","DESIGN - D","3554d18d03bbd24daa5ddca1aa0886b8","1070","40-60","5,043","4-6","5","2","7,173","386,655","2,705","145,811","115"
"11104120","DESIGN - D","cbd89e54a5d19cd05ea4cee48cc444ba","670","0-20","3,062","2-4","5","2","6,585","264,644","0,788","31,666","115"
"11104120","DESIGN - D","0daa5d0dc74503f25185892f80fcacf0","990","20-40","6,483","6-8","5","2","8,537","669,872","4,109","322,376","115"
"11104120","DESIGN - D","cabc321ec1eb1f6078ab17d23189abe0","1080","40-60","6,455","6-8","5","2","7,529","460,508","3,528","215,792","115"
"11104120","DESIGN - D","37c068fe8fc5f0d074a4f89b06bb8a8b","930","20-40","6,236","6-8","5","2","7,967","551,414","2,486","172,048","115"
"11104120","DESIGN - D","758780d66da8e8c95e1a5cd29fd90de1","1260","40-60","6,757","6-8","5","2","7,563","467,564","4,245","262,431","115"
"11104120","DESIGN - D","848bf7403eff0dc3746f07e91725a298","810","20-40","4,653","4-6","5","2","6,937","337,699","1,578","76,795","115"
"11104120","DESIGN - D","637d53015e429acea27225f64531f3e8","1460","40-60","6,691","6-8","5","2","7,122","376,073","5,095","269,058","115"
"11104120","DESIGN - D","fc93841c01393b467dca88274a764ab7","1050","20-40","6,463","6-8","5","2","7,57","469,178","3,077","190,698","115"
"11104120","DESIGN - D","210a2b1d572d683c6d7e313f8d4442e8","1130","40-60","5,593","4-6","5","2","7,013","353,523","3,187","160,662","115"
"11104120","DESIGN - D","4aa463bc58a493db1913b941330dbc16","1850","60-80","6,487","6-8","5","2","7,202","392,687","3,033","165,387","115"
"11104120","DESIGN - D","1e3694062cad4e1bc5709955ab82c8d9","700","0-20","4,413","4-6","5","2","7,009","352,547","1,417","71,273","115"
"11104120","DESIGN - D","1fc71ed5ae2256477eac59626d9c9859","1250","40-60","7,282","6-8","5","2","8,08","574,938","4,319","307,35","115"
